RecordID,ProgramStudi,Gender,DeviceUtama,ModaBelajar,Kepuasan,IntensitasBelajar,DurasiBelajarJam,PaketID
849870,Matematika,P,Tablet,Buku,Sangat Puas,Rendah,5.7,ADK1-07018231
347917,Matematika,P,Laptop,Diskusi,Puas,Tinggi,10.2,ADK1-07018231
402953,Sistem Informasi,P,Laptop,Buku,Puas,Sedang,8.2,ADK1-07018231
889016,Sains Data,P,Smartphone,Praktik,Puas,Sedang,6.2,ADK1-07018231
195099,Sains Data,L,Tablet,Praktik,Tidak Puas,Tinggi,12,ADK1-07018231
834102,Sains Data,P,Laptop,Praktik,,Sedang,8.7,ADK1-07018231
577636,Sains Aktuaria,P,Tablet,Diskusi,Puas,Tinggi,8.3,ADK1-07018231
666768,Sains Data,L,Tablet,Diskusi,Tidak Puas,Sedang,6.7,ADK1-07018231
196924,Sains Aktuaria,L,Smartphone,Praktik,Puas,Rendah,5,ADK1-07018231
633242,Sistem Informasi,L,Laptop,Buku,Puas,Sedang,9.2,ADK1-07018231
980294,Matematika,L,Smartphone,Praktik,Cukup,Sedang,8.3,ADK1-07018231
940490,Sistem Informasi,P,Laptop,Praktik,Sangat Puas,Sedang,8.5,ADK1-07018231
948170,Matematika,L,Laptop,Buku,Sangat Puas,Rendah,3.1,ADK1-07018231
154909,Sains Data,L,Tablet,Praktik,Puas,Tinggi,9.2,ADK1-07018231
210125,Sains Data,P,Tablet,Buku,Puas,Sedang,4.3,ADK1-07018231
675033,Matematika,L,Smartphone,Video,Sangat Puas,Rendah,4.9,ADK1-07018231
941229,Sains Data,P,Tablet,Buku,Puas,Rendah,2.1,ADK1-07018231
795327,Sistem Informasi,P,Laptop,Praktik,Puas,Sedang,5.6,ADK1-07018231
323973,Sistem Informasi,L,Tablet,Praktik,Cukup,Sedang,7.8,ADK1-07018231
935913,Sistem Informasi,L,Tablet,Buku,Tidak Puas,Rendah,5.6,ADK1-07018231
650386,Matematika,L,Smartphone,Diskusi,Sangat Puas,Tinggi,7.8,ADK1-07018231
158205,Matematika,L,Tablet,Praktik,Sangat Puas,Sedang,6.5,ADK1-07018231
338015,Matematika,L,Tablet,Praktik,Tidak Puas,Sedang,7.4,ADK1-07018231
701919,Sistem Informasi,P,,Video,Cukup,Rendah,1,ADK1-07018231
511437,Sistem Informasi,L,Laptop,Buku,Puas,Rendah,3.4,ADK1-07018231
637561,Sains Aktuaria,P,Tablet,Buku,Tidak Puas,Rendah,7.4,ADK1-07018231
994769,Matematika,L,Tablet,Diskusi,Puas,Rendah,2.3,ADK1-07018231
628310,Sains Aktuaria,L,Tablet,Praktik,Puas,Tinggi,5,ADK1-07018231
299252,Matematika,L,Laptop,Praktik,Puas,Tinggi,8,ADK1-07018231
960875,Sistem Informasi,P,Smartphone,Video,Cukup,Rendah,5.2,ADK1-07018231
869897,Sains Aktuaria,L,Laptop,Praktik,Sangat Puas,Tinggi,12.1,ADK1-07018231
778582,Matematika,P,Tablet,Praktik,Sangat Puas,Rendah,8.8,ADK1-07018231
343391,Sistem Informasi,P,Laptop,Praktik,Puas,Sedang,5.9,ADK1-07018231
151871,Sistem Informasi,L,Tablet,Diskusi,Puas,Tinggi,9.6,ADK1-07018231
788005,Sains Aktuaria,L,Laptop,Buku,Cukup,Tinggi,12,ADK1-07018231
628479,Sains Aktuaria,L,Laptop,Praktik,Sangat Puas,Tinggi,13.7,ADK1-07018231
904159,Sains Aktuaria,L,Tablet,Buku,Puas,Sedang,6.3,ADK1-07018231
